,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S1,PC3_Normoxia_S2
ENSG00000132718,43.91846756,35.40683415,1.097626065,14.02694765,27.74510113,28.55077372,47.76004449,34.72151271
ENSG00000132740,327.1925833,371.2932878,333.6783238,344.9752438,321.5909449,299.783124,459.6904282,443.5393237
ENSG00000132746,715.3220403,754.0698732,1020.243428,1242.699893,1.26114096,0,0,0
ENSG00000132749,227.8270504,228.230539,265.0766947,274.4021634,103.4135587,117.7719416,62.68505839,69.44302542
ENSG00000132763,837.7447686,828.2328366,1101.467756,1107.690522,701.1943739,628.1170218,811.9207563,991.2431855
ENSG00000132768,353.5436638,354.5468122,428.0741654,497.5182994,513.2843708,446.1058393,841.7707841,844.516793
ENSG00000132773,250.3352651,270.3359634,332.5806977,341.0301647,186.6488621,196.2865693,256.7102391,249.7708818
ENSG00000132780,7042.875253,7056.964822,7179.572092,6423.903681,1749.202512,1384.712525,1286.536198,1402.301094
ENSG00000132781,117.4819007,99.04344146,121.2876802,90.29847549,25.22281921,10.70654014,35.82003337,35.84156151
ENSG00000132792,753.2017186,712.9213902,598.7550185,700.9090404,1615.52157,1281.215971,1528.321424,1377.66002
ENSG00000132793,1124.86175,1021.535012,367.1559188,430.0136139,426.2656446,506.7762335,325.3653031,324.8141512
ENSG00000132801,103.7573796,119.1392122,102.0792241,114.4072918,276.1898703,324.765051,337.3053142,258.7312721
ENSG00000132819,294.2537326,280.3838488,281.5410857,329.6332698,353.1194689,399.7108321,576.1055367,476.0207388
ENSG00000132821,77.40629907,57.89495854,29.08709073,59.1761854,314.0240991,342.6092846,349.2453253,327.0542488
ENSG00000132823,691.715864,653.1125488,614.1217834,660.1432238,2310.410239,2059.224554,2050.69691,2060.889787
ENSG00000132824,5176.889363,4887.578524,5772.415476,5673.900324,6847.995414,6588.091035,4370.044071,4853.171438
ENSG00000132825,176.2228511,165.0724024,246.4170516,223.1161361,539.768331,649.5301021,653.715609,651.8683999
ENSG00000132837,17.56738702,11.00482683,31.28234286,30.24560587,1.26114096,0,5.970005561,3.360146391
ENSG00000132840,0,1.913882927,0.548813033,0,0,0,0,0
ENSG00000132842,811.9426689,859.3334341,899.5045604,798.6593318,2272.57601,2226.96035,1614.886504,1729.355343
ENSG00000132846,1567.340311,1531.106341,1050.428144,989.7764935,274.9287293,346.1781313,268.6502503,364.0158591
ENSG00000132849,1835.242963,1765.557,2075.062076,1788.874167,387.1702748,328.3338978,388.0503615,344.9750295
ENSG00000132854,2.744904222,0.478470732,10.97626065,9.643526509,0,0,8.955008342,0
ENSG00000132855,5.489808444,4.784707317,13.72032581,8.328500167,8.827986722,14.27538686,5.970005561,7.84034158
ENSG00000132872,3123.701005,3159.820712,1375.874273,1212.454287,0,0,0,0
ENSG00000132874,0.548980844,1.435412195,11.52507368,4.383421141,0,0,2.985002781,2.240097594
ENSG00000132879,508.9052428,511.4852122,340.8128932,382.6726656,406.0873892,349.746978,432.8254032,424.4984941
ENSG00000132881,34.5857932,28.7082439,53.78367719,36.82073758,6.305704801,21.41308029,32.83503059,39.2017079
ENSG00000132906,110.3451497,100.0003829,137.7520712,146.4062661,321.5909449,367.5912116,408.9453809,356.1755175
ENSG00000132911,0,0,0,0,10.08912768,3.568846715,14.9250139,13.44058557
